Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.6707772428023976,0.18483210017074558,0.571994715984148,0.27938488009463386,0.6769105776819072
Random Forest,0.8890144443352658,0.5379746835443038,0.03742844561867019,0.0699876492383697,0.6702363530287331
Logistic Regression,0.6430677016802594,0.16795212765957446,0.5561426684280053,0.2579920335001532,0.6451217054253938
Decision Tree,0.7911958337427533,0.16850921273031827,0.22148833113166005,0.19140030441400305,0.5421161724230993
