iter	Passed	Remaining
151	4477	24978
152	4512	24980
153	4538	24932
154	4565	24889
155	4596	24868
156	4622	24819
157	4654	24803
158	4682	24765
159	4714	24752
160	4745	24727
161	4772	24687
162	4800	24650
163	4830	24623
164	4856	24576
165	4881	24527
166	4911	24497
167	4942	24478
168	4977	24477
169	5012	24472
170	5046	24464
171	5083	24472
172	5117	24465
173	5150	24450
174	5181	24427
175	5218	24430
176	5252	24424
177	5283	24398
178	5319	24398
179	5351	24378
180	5383	24361
181	5415	24341
182	5449	24329
183	5484	24323
184	5514	24292
185	5542	24257
186	5574	24237
187	5603	24202
188	5633	24175
189	5661	24134
190	5691	24107
191	5722	24082
192	5753	24058
193	5777	24003
194	5805	23967
195	5829	23910
196	5859	23884
197	5887	23848
198	5915	23809
199	5946	23784
200	5968	23724
201	5999	23700
202	6023	23650
203	6052	23615
204	6075	23559
205	6105	23531
206	6134	23499
207	6161	23461
208	6191	23434
209	6216	23386
210	6242	23343
211	6271	23309
212	6296	23265
213	6324	23230
214	6355	23203
215	6384	23171
216	6425	23186
217	6463	23184
218	6496	23166
219	6531	23155
220	6570	23161
221	6601	23134
222	6650	23173
223	6691	23182
224	6735	23199
225	6784	23236
226	6820	23225
227	6866	23250
228	6914	23278
229	6974	23350
230	7018	23363
231	7073	23414
232	7120	23439
233	7167	23462
234	7210	23471
235	7253	23481
236	7296	23488
237	7337	23491
238	7367	23457
239	7398	23429
240	7433	23410
241	7466	23388
242	7502	23370
243	7539	23360
244	7572	23335
245	7603	23305
246	7636	23281
247	7664	23240
248	7695	23208
249	7725	23175
250	7751	23131
251	7783	23102
252	7809	23056
253	7840	23028
254	7871	22995
255	7901	22965
256	7929	22925
257	7957	22885
258	7989	22857
259	8015	22814
260	8050	22795
261	8075	22746
262	8101	22702
263	8125	22652
264	8153	22613
265	8186	22591
266	8214	22550
267	8240	22506
268	8272	22479
269	8296	22431
270	8332	22414
271	8359	22374
272	8385	22331
273	8416	22299
274	8447	22270
275	8477	22238
276	8506	22202
277	8536	22169
278	8561	22124
279	8590	22089
280	8623	22065
281	8648	22020
282	8673	21974
283	8708	21956
284	8742	21931
285	8767	21888
286	8795	21849
287	8824	21816
288	8856	21788
289	8885	21754
290	8910	21710
291	8937	21670
292	8963	21627
293	8992	21594
294	9017	21551
295	9045	21513
296	9077	21486
297	9107	21453
298	9138	21426
299	9168	21392
300	9195	21354
301	9226	21324
302	9258	21297
303	9286	21261
304	9318	21233
305	9347	21199
306	9370	21152
307	9399	21117
308	9427	21081
309	9457	21051
310	9488	21021
311	9517	20986
312	9548	20957
313	9578	20926
314	9604	20885
315	9634	20854
316	9670	20836
317	9696	20795
318	9727	20765
319	9756	20732
320	9787	20703
321	9812	20660
322	9838	20620
323	9865	20584
324	9896	20553
325	9920	20511
326	9953	20485
327	9984	20455
328	10018	20432
329	10041	20387
330	10074	20362
331	10096	20315
332	10125	20281
333	10161	20261
334	10187	20222
335	10220	20198
336	10256	20177
337	10281	20137
338	10311	20106
339	10338	20068
340	10369	20039
341	10399	20008
342	10428	19975
343	10457	19941
344	10489	19915
345	10524	19893
346	10557	19867
347	10591	19843
348	10633	19835
349	10660	19798
350	10696	19776
351	10723	19740
352	10754	19712
353	10789	19689
354	10814	19648
355	10841	19612
356	10874	19587
357	10899	19546
358	10941	19536
359	10964	19492
360	10991	19456
361	11016	19416
362	11041	19375
363	11067	19338
364	11092	19297
365	11125	19272
366	11155	19241
367	11184	19208
368	11218	19183
369	11244	19146
370	11272	19112
371	11298	19073
372	11327	19040
373	11359	19013
374	11387	18979
375	11416	18947
376	11447	18916
377	11472	18877
378	11500	18843
379	11531	18813
380	11557	18777
381	11587	18745
382	11617	18715
383	11646	18683
384	11679	18656
385	11716	18637
386	11741	18598
387	11770	18565
388	11800	18535
389	11828	18500
390	11859	18471
391	11882	18430
392	11911	18398
393	11939	18363
394	11966	18328
395	11998	18299
396	12035	18280
397	12075	18265
398	12122	18259
399	12149	18224
400	12188	18206
401	12218	18176
402	12251	18148
403	12278	18113
404	12307	18080
405	12333	18044
406	12365	18016
407	12393	17983
408	12421	17948
409	12446	17910
410	12473	17876
411	12506	17849
412	12532	17812
413	12563	17782
414	12596	17756
415	12629	17729
416	12663	17703
417	12691	17670
418	12724	17644
419	12757	17617
420	12789	17589
421	12814	17551
422	12843	17519
423	12879	17496
424	12907	17462
425	12936	17430
426	12962	17394
427	12990	17361
428	13020	17330
429	13050	17299
430	13082	17271
431	13115	17243
432	13138	17204
433	13167	17172
434	13196	17140
435	13221	17103
436	13252	17073
437	13283	17044
438	13314	17014
439	13339	16976
440	13373	16951
441	13399	16916
442	13427	16882
443	13459	16854
444	13486	16820
445	13515	16788
446	13548	16761
447	13579	16731
448	13614	16707
449	13645	16678
450	13671	16642
451	13699	16608
452	13729	16578
453	13761	16549
454	13794	16523
455	13823	16491
456	13858	16465
457	13886	16433
458	13915	16401
459	13944	16369
460	13971	16335
461	14005	16309
462	14038	16281
463	14066	16249
464	14095	16217
465	14123	16184
466	14153	16154
467	14182	16121
468	14212	16090
469	14244	16062
470	14273	16030
471	14302	15999
472	14331	15968
473	14356	15931
474	14388	15903
475	14415	15869
476	14448	15841
477	14478	15811
478	14506	15778
479	14533	15744
480	14559	15709
481	14592	15682
482	14620	15649
483	14651	15620
484	14686	15594
485	14714	15562
486	14741	15529
487	14771	15497
488	14800	15466
489	14833	15439
490	14862	15407
491	14895	15379
492	14926	15350
493	14955	15319
494	14984	15287
495	15013	15255
496	15048	15229
497	15078	15199
498	15109	15169
499	15141	15141
500	15175	15114
501	15212	15091
502	15260	15078
503	15290	15047
504	15322	15019
505	15358	14993
506	15383	14958
507	15425	14939
508	15461	14914
509	15505	14897
510	15541	14872
511	15570	14840
512	15597	14807
513	15627	14775
514	15656	14744
515	15685	14712
516	15717	14683
517	15744	14650
518	15775	14620
519	15803	14587
520	15833	14557
521	15862	14525
522	15888	14490
523	15918	14460
524	15942	14424
525	15974	14395
526	16004	14364
527	16036	14335
528	16068	14306
529	16097	14274
530	16125	14242
531	16158	14214
532	16185	14181
533	16218	14153
534	16253	14126
535	16286	14098
536	16319	14070
537	16350	14040
538	16376	14007
539	16400	13970
540	16430	13940
541	16453	13903
542	16481	13871
543	16508	13838
544	16540	13809
545	16569	13777
546	16602	13749
547	16633	13719
548	16658	13684
549	16693	13658
550	16723	13627
551	16756	13599
552	16792	13573
553	16827	13546
554	16862	13520
555	16895	13492
556	16921	13458
557	16954	13429
558	16979	13395
559	17006	13362
560	17034	13329
561	17064	13299
562	17096	13270
563	17126	13239
564	17152	13205
565	17182	13174
566	17210	13143
567	17236	13109
568	17264	13077
569	17292	13045
570	17326	13017
571	17350	12982
572	17373	12947
573	17402	12915
574	17432	12884
575	17463	12855
576	17490	12822
577	17515	12788
578	17550	12761
579	17584	12733
580	17613	12702
581	17642	12671
582	17674	12641
583	17704	12611
584	17737	12583
585	17772	12555
586	17811	12531
587	17848	12505
588	17881	12477
589	17916	12450
590	17947	12420
591	17980	12392
592	18011	12361
593	18041	12331
594	18075	12303
595	18102	12270
596	18128	12237
597	18163	12210
598	18189	12177
599	18224	12149
600	18255	12119
601	18288	12091
602	18327	12066
603	18361	12038
604	18396	12010
605	18426	11980
606	18461	11952
607	18494	11924
608	18540	11903
609	18573	11875
610	18608	11847
611	18645	11821
612	18682	11794
613	18722	11770
614	18765	11747
615	18791	11714
616	18819	11682
617	18849	11651
618	18881	11622
619	18916	11594
620	18947	11563
621	18986	11538
622	19025	11513
623	19063	11486
624	19096	11457
625	19130	11429
626	19161	11399
627	19194	11369
628	19228	11341
629	19266	11315
630	19301	11287
631	19333	11257
632	19364	11226
633	19392	11195
634	19424	11165
635	19453	11133
636	19481	11101
637	19514	11072
638	19543	11040
639	19576	11011
640	19609	10982
641	19644	10954
642	19676	10924
643	19710	10896
644	19742	10865
645	19776	10837
646	19809	10808
647	19841	10778
648	19875	10749
649	19908	10719
650	19949	10694
651	19983	10666
652	20023	10640
653	20063	10614
654	20094	10584
655	20124	10552
656	20158	10524
657	20190	10494
658	20221	10463
659	20249	10431
660	20282	10402
661	20314	10371
662	20342	10339
663	20371	10308
664	20400	10276
665	20430	10245
666	20456	10213
667	20484	10180
668	20519	10152
669	20547	10120
670	20575	10088
671	20600	10055
672	20631	10024
673	20660	9992
674	20688	9961
675	20716	9929
676	20749	9899
677	20782	9869
678	20817	9841
679	20854	9814
680	20886	9783
681	20920	9754
682	20956	9726
683	20994	9699
684	21028	9669
685	21063	9641
686	21090	9609
687	21124	9579
688	21159	9550
689	21190	9520
690	21220	9489
691	21250	9458
692	21291	9432
693	21326	9403
694	21362	9374
695	21393	9344
696	21438	9319
697	21472	9290
698	21512	9263
699	21547	9234
700	21579	9204
701	21614	9175
702	21663	9152
703	21695	9122
704	21740	9096
705	21775	9068
706	21816	9041
707	21857	9014
708	21894	8986
709	21933	8958
710	21959	8926
711	21994	8896
712	22026	8866
713	22054	8834
714	22085	8803
715	22120	8773
716	22152	8743
717	22182	8712
718	22219	8683
719	22262	8657
720	22298	8628
721	22335	8600
722	22371	8570
723	22405	8541
724	22441	8512
725	22479	8484
726	22513	8454
727	22551	8425
728	22591	8398
729	22621	8366
730	22651	8335
731	22681	8303
732	22710	8272
733	22738	8240
734	22770	8209
735	22806	8180
736	22848	8153
737	22885	8124
738	22915	8093
739	22950	8063
740	22982	8033
741	23016	8002
742	23048	7972
743	23084	7942
744	23115	7912
745	23155	7884
746	23192	7855
747	23226	7824
748	23263	7795
749	23293	7764
750	23328	7734
751	23361	7704
752	23396	7674
753	23431	7644
754	23464	7614
755	23498	7584
756	23526	7552
757	23563	7522
758	23594	7491
759	23637	7464
760	23668	7433
761	23693	7400
762	23724	7369
763	23755	7338
764	23786	7307
765	23820	7276
766	23852	7246
767	23879	7213
768	23907	7181
769	23936	7149
770	23967	7118
771	23996	7087
772	24028	7056
773	24055	7023
774	24085	6992
775	24112	6960
776	24140	6928
777	24172	6897
778	24202	6866
779	24230	6834
780	24257	6802
781	24293	6772
782	24325	6741
783	24354	6709
784	24384	6678
785	24417	6648
786	24448	6616
787	24475	6584
788	24509	6554
789	24550	6526
790	24602	6500
791	24647	6473
792	24692	6445
793	24758	6423
794	24797	6394
795	24856	6370
796	24903	6343
797	24942	6313
798	24979	6283
799	25012	6253
800	25046	6222
801	25080	6191
802	25123	6163
803	25158	6133
804	25186	6101
805	25214	6068
806	25246	6037
807	25279	6006
808	25311	5975
809	25344	5944
810	25379	5914
811	25413	5883
812	25446	5852
813	25477	5821
814	25508	5790
815	25538	5758
816	25568	5727
817	25603	5696
818	25636	5665
819	25668	5634
820	25703	5604
821	25738	5573
822	25762	5540
823	25791	5508
824	25819	5476
825	25850	5445
826	25881	5414
827	25916	5383
828	25952	5353
829	25988	5322
830	26018	5291
831	26050	5260
832	26088	5230
833	26118	5198
834	26153	5168
835	26188	5137
836	26221	5106
837	26253	5075
838	26284	5043
839	26312	5011
840	26342	4980
841	26369	4948
842	26399	4916
843	26431	4885
844	26460	4853
845	26488	4821
846	26518	4790
847	26552	4759
848	26583	4727
849	26611	4696
850	26657	4667
851	26686	4635
852	26718	4604
853	26753	4573
854	26791	4543
855	26826	4512
856	26860	4481
857	26895	4451
858	26924	4419
859	26957	4388
860	26987	4356
861	27015	4325
862	27048	4293
863	27086	4263
864	27114	4231
865	27147	4200
866	27184	4170
867	27225	4140
868	27265	4110
869	27312	4081
870	27347	4050
871	27385	4019
872	27420	3988
873	27456	3958
874	27488	3926
875	27522	3895
876	27556	3864
877	27592	3834
878	27625	3802
879	27655	3771
880	27682	3739
881	27713	3707
882	27749	3676
883	27777	3644
884	27817	3614
885	27848	3583
886	27878	3551
887	27908	3520
888	27939	3488
889	27968	3456
890	27998	3425
891	28026	3393
892	28058	3362
893	28090	3330
894	28123	3299
895	28156	3268
896	28188	3236
897	28216	3204
898	28249	3173
899	28274	3141
900	28303	3109
901	28337	3078
902	28371	3047
903	28401	3016
904	28430	2984
905	28466	2953
906	28497	2922
907	28528	2890
908	28553	2858
909	28582	2826
910	28613	2795
911	28642	2763
912	28673	2732
913	28700	2700
914	28729	2668
915	28756	2637
916	28787	2605
917	28818	2574
918	28850	2542
919	28879	2511
920	28909	2479
921	28937	2448
922	28966	2416
923	28995	2384
924	29027	2353
925	29054	2321
926	29091	2290
927	29127	2259
928	29158	2228
929	29197	2197
930	29225	2166
931	29253	2134
932	29283	2102
933	29317	2071
934	29350	2040
935	29385	2009
936	29412	1977
937	29441	1946
938	29468	1914
939	29503	1883
940	29529	1851
941	29563	1820
942	29596	1788
943	29623	1757
944	29658	1726
945	29686	1694
946	29720	1663
947	29752	1631
948	29779	1600
949	29809	1568
950	29838	1537
951	29870	1506
952	29904	1474
953	29933	1443
954	29962	1411
955	29986	1380
956	30015	1348
957	30041	1317
958	30077	1285
959	30104	1254
960	30136	1223
961	30162	1191
962	30186	1159
963	30217	1128
964	30255	1097
965	30289	1066
966	30326	1034
967	30355	1003
968	30386	972
969	30420	940
970	30453	909
971	30488	878
972	30524	847
973	30554	815
974	30586	784
975	30614	752
976	30643	721
977	30669	689
978	30701	658
979	30732	627
980	30766	595
981	30801	564
982	30833	533
983	30863	501
984	30893	470
985	30917	438
986	30942	407
987	30968	376
988	30998	344
989	31026	313
990	31056	282
991	31097	250
992	31141	219
993	31171	188
994	31212	156
995	31250	125
996	31292	94
997	31327	62
998	31378	31
999	31422	0
