iter	MultiClass
0	1.061977493
1	1.032856311
2	1.009737928
3	0.9903148372
4	0.9746521269
5	0.9596721563
6	0.947334164
7	0.9370625114
8	0.9288055937
9	0.9213673664
10	0.9150358343
11	0.9092465981
12	0.9048709138
13	0.9004969041
14	0.897023734
15	0.8939728853
16	0.8907942687
17	0.8881869614
18	0.8857465901
19	0.8834375021
20	0.8816665977
21	0.8803072879
22	0.8784517502
23	0.8771297198
24	0.8754684217
25	0.8745413377
26	0.8734116501
27	0.8726939366
28	0.871916968
29	0.8710543148
30	0.8701126425
31	0.8694639474
32	0.868981282
33	0.8682395873
34	0.8676475676
35	0.8671551492
36	0.8664607853
37	0.8660235007
38	0.8654474189
39	0.864963297
40	0.8645390793
41	0.8641797066
42	0.8638149859
43	0.8631903331
44	0.8628061268
45	0.8623991509
46	0.8618551148
47	0.8612361455
48	0.860532121
49	0.8598993331
50	0.8596434661
51	0.8592995809
52	0.8588017136
53	0.8584113789
54	0.8581527393
55	0.857813433
56	0.8575135628
57	0.8570435658
58	0.8568034039
59	0.8565746298
60	0.8561378285
61	0.8556196917
62	0.8553464428
63	0.8551447515
64	0.8546255452
65	0.8543204572
66	0.8542018884
67	0.8539805219
68	0.8537547634
69	0.8535895985
70	0.8532256043
71	0.853095969
72	0.8528823973
73	0.8525414502
74	0.8523564671
75	0.8521050887
76	0.8517862471
77	0.851639898
78	0.851346312
79	0.8511020053
80	0.8508857222
81	0.8507775173
82	0.8505748404
83	0.8504100731
84	0.8501827261
85	0.8498045536
86	0.8496597713
87	0.8494823303
88	0.8490546862
89	0.8487301451
90	0.8485434672
91	0.8482444695
92	0.8480241072
93	0.8477457703
94	0.8475711927
95	0.8473845498
96	0.8472000543
97	0.8469924685
98	0.8467568337
99	0.8466250165
100	0.8464284768
101	0.846166517
102	0.845899843
103	0.8457072802
104	0.8456000315
105	0.8452915394
106	0.8451571133
107	0.8448898033
108	0.8445873107
109	0.844414402
110	0.8442695552
111	0.8440603717
112	0.8439302571
113	0.8437485345
114	0.8435629396
115	0.8433570758
116	0.8431509674
117	0.8430184545
118	0.8429242994
119	0.8427409524
120	0.8425528637
121	0.8424349079
122	0.842231025
123	0.8420831896
124	0.8418782078
125	0.8416026986
126	0.8413523583
127	0.8411298235
128	0.8407433027
129	0.8406229442
130	0.8403946213
131	0.8402393752
132	0.8400375677
133	0.8399194776
134	0.839826731
135	0.8396523228
136	0.8394724486
137	0.8392736172
138	0.8391521006
139	0.838827826
140	0.8386099076
141	0.8382672696
142	0.8380070203
143	0.8377694746
144	0.8375979405
145	0.8374658917
146	0.8372323788
147	0.8369849899
148	0.8367362517
149	0.836478197
150	0.8362140977
151	0.8360638403
152	0.8358122364
153	0.8356665131
154	0.8355168411
155	0.835392652
156	0.8353058412
157	0.8351359869
158	0.8349867958
159	0.8348116904
160	0.8345514322
161	0.8344235572
162	0.8343143045
163	0.8341946531
164	0.8340877954
165	0.8340003896
166	0.8338847705
167	0.8336784095
168	0.8334985666
169	0.8333345954
170	0.8331245654
171	0.8328826338
